0	5.000000	5.000000
1	5.783276	6.122779
2	6.873573	7.859505
3	6.792094	4.836175
4	7.798604	3.085132
5	6.059681	7.495020
6	4.779426	6.974102
7	3.649287	7.315324
8	2.461485	1.744638
9	4.964093	9.060891
10	3.273325	3.036344
11	1.320506	2.983265
12	2.720710	2.891420
13	2.090225	8.186838
14	4.991315	5.169089
15	5.712830	6.954881
16	4.818874	4.937961
17	6.993122	1.126310
18	2.137163	4.937929
19	4.848651	4.634222
20	5.221034	1.320365
21	4.641678	4.553868
22	2.759075	6.975534
23	8.522379	6.939440
24	5.230696	4.389364
25	5.847176	2.916853
26	7.041106	5.674970
27	3.744403	4.155299
28	5.287192	4.941959
29	7.406355	4.791088
30	6.222430	2.393619
31	4.520905	3.792575
32	4.655019	4.662573
33	2.956073	3.530043
34	4.732975	4.417483
35	5.446082	4.284477
36	4.249307	5.192691
37	2.640932	4.270416
38	7.587796	4.274504
39	4.055910	9.354599
40	0.825065	5.411584
41	5.723285	3.273375
42	4.427907	4.545678
43	3.547257	3.348596
44	4.266866	5.422968
45	5.591518	2.025720
46	8.894364	2.116592
47	3.957306	8.899560
48	9.164094	7.728687
49	7.720372	1.393513
50	5.021861	9.982602
